Name         Owner     IP                 Zone            Status
-----------  --------  -----------------  --------------  -------
instance-0   moshe     35.226.238.43      us-central1-a   RUNNING
instance-1   ziv       34.57.205.59       us-central1-a   RUNNING
instance-2   sveta     34.123.113.56      us-central1-a   RUNNING
instance-3   micha     136.119.121.173    us-central1-a   RUNNING
instance-4   omer      34.16.2.120        us-central1-a   RUNNING
instance-5   hana      34.123.16.216      us-central1-a   RUNNING
instance-6   shiri     34.70.195.39       us-central1-a   RUNNING
instance-7   ron       35.255.210.82      us-central1-a   RUNNING
instance-8   stav      104.197.250.1      us-central1-a   RUNNING
instance-9   itay      35.238.200.164     us-central1-a   RUNNING
instance-10  ofir      34.57.248.99       us-central1-a   RUNNING
instance-11  liran     136.119.114.148    us-central1-a   RUNNING
instance-12  yaniv     35.185.104.254     us-east1-c      RUNNING
instance-13  gilad     35.237.240.98      us-east1-c      RUNNING
instance-14  yoni      35.185.31.253      us-east1-c      RUNNING
instance-15  pini      104.196.7.202      us-east1-c      RUNNING
instance-16  ilan      34.138.229.227     us-east1-c      RUNNING
instance-17  yanir     34.24.225.186      us-east1-c      RUNNING
instance-18  nir       34.75.125.251      us-east1-c      RUNNING
instance-19  yair      34.74.31.9         us-east1-c      RUNNING
instance-20  natasha   34.138.0.170       us-east1-c      RUNNING

Total: 21 instances (all RUNNING) — 12 in us-central1-a, 9 in us-east1-c
